 , , ,O, ,X,X, ,O;0,1,2,4,7
 ,X, ,O, ,X,X, ,O;2,4
 ,X,O,O, ,X,X, ,O;0,4,7
 ,X,O,O,X,X,X, ,O;7
 ,X,O,O,X,X,X,O,O;0
X, , , , , , ,X,O;1,2,4
X,O, , , , , ,X,O;2,3,4,5,6
X,O,X, , , , ,X,O;3,4,6
X,O,X, ,O, , ,X,O;3,5,6
X,O,X, ,O,X, ,X,O;3,6
X,O,X,O,O,X, ,X,O;6
X, , , ,O,X, , , ;1,2,7,8
X, , , ,O,X, ,O, ;1
X,X, , ,O,X, ,O, ;2
X,X,O, ,O,X, ,O, ;6
X,X,O, ,O,X,X,O, ;3
